url_length,domain_length,count_subdomains,has_ip_address,count_digits,count_special_chars,has_at_symbol,has_hyphen,uses_https,count_parameters,shannon_entropy,path_length,status
64,18,2,0,0,11,0,1,0,0,4.138508938909887,39,1
39,30,2,0,0,6,0,0,1,0,4.092342603144792,1,0
53,23,2,0,2,9,0,1,1,0,4.348308841756336,22,0
34,17,2,0,0,7,0,0,1,0,4.02085512047121,9,0
33,16,2,0,0,7,0,0,1,0,4.025920165587641,9,0
29,14,2,0,0,6,0,0,0,0,3.9523029776623857,8,1
71,35,2,0,6,11,0,1,0,0,4.5092166699968645,29,1
37,18,2,0,0,7,0,0,0,0,4.262979041070738,12,1
31,23,2,0,0,7,0,1,0,0,3.92599298842148,1,0
27,18,2,0,0,6,0,0,1,0,3.5137847242254345,1,0
79,18,2,0,8,16,0,1,1,0,4.7874459387869654,53,0
45,16,2,0,0,8,0,0,1,0,4.216651363324027,21,0
24,16,2,0,0,6,0,0,0,0,3.605388542207534,1,0
28,14,2,0,0,6,0,0,1,0,4.012188403968661,6,0
27,19,3,0,0,7,0,0,0,0,3.8561962982193805,1,1
45,29,2,0,1,8,0,0,0,0,4.017659842382177,9,1
42,17,2,0,1,9,0,1,0,0,4.39531020894716,18,1
133,25,2,0,9,22,0,1,1,2,5.499328373226066,82,1
50,20,2,0,0,9,0,0,1,0,4.033786320494365,22,0
29,14,1,0,0,5,0,0,0,0,3.7588670992335302,8,1
29,21,3,0,0,7,0,0,0,0,3.9952378913808873,1,0
26,15,1,0,0,6,0,0,0,0,3.854285871987245,4,1
218,12,2,1,81,20,0,1,0,3,4.796652604151856,33,1
43,12,2,0,3,8,0,0,0,0,4.135940488298283,24,0
24,15,2,0,0,6,0,0,1,0,3.772055208874201,1,0
39,22,2,0,0,8,0,0,0,0,4.1604200911461655,10,1
35,26,2,0,0,7,0,1,1,0,3.9648576597402947,1,1
40,32,2,1,6,6,0,0,0,0,4.134183719779188,1,1
30,14,3,1,11,8,0,0,0,0,3.8980685120588383,9,1
70,16,2,1,5,13,0,0,0,1,4.82701850985823,32,1
38,16,1,0,0,7,0,0,0,0,3.905307776373746,15,1
24,15,2,0,0,7,0,1,1,0,3.740601562950723,1,0
62,34,2,0,0,8,0,1,0,0,4.3532546819000775,21,0
61,21,2,0,8,13,0,1,0,0,4.45876274835271,33,0
64,8,1,0,3,11,0,0,0,0,4.201915524693378,49,1
21,12,1,0,0,5,0,0,1,0,3.844232898763191,1,0
34,25,2,1,4,6,0,0,1,0,4.160704752887782,1,1
49,26,2,0,0,8,0,0,0,0,4.244925854752683,16,0
89,14,2,0,0,17,0,1,0,0,4.504632232401174,68,1
60,21,3,0,0,11,0,1,1,0,4.446078254079442,31,1
93,17,1,0,8,15,0,1,0,0,4.549806866046801,69,0
51,43,3,1,10,9,0,1,0,0,4.5492054887333735,1,1
79,19,2,1,6,15,1,1,0,1,4.781240559094902,26,1
28,20,2,0,0,5,0,0,1,0,3.9677201004745,0,0
168,12,2,0,24,8,0,1,1,0,5.45742397411003,148,1
102,23,2,0,1,16,0,1,0,0,4.36154589289522,72,1
48,20,2,0,0,8,0,0,1,0,4.157268229617389,20,0
68,18,3,0,0,11,0,0,1,0,4.355630217825958,42,1
126,31,2,0,32,15,0,0,0,2,4.9493971905260095,26,1
57,28,2,0,0,8,0,0,0,0,4.095877191520978,22,1
44,35,2,0,0,9,0,1,1,0,4.063387937609557,1,1
33,14,1,0,0,6,0,0,1,0,3.7834959231633984,11,0
127,50,4,0,21,18,0,1,1,3,4.837324605675638,19,1
50,18,1,0,0,9,0,1,0,0,4.126886761135438,25,0
61,15,2,0,1,11,0,0,0,0,4.328301174253796,39,0
49,14,1,0,0,10,0,0,0,0,4.103707802945662,27,1
93,19,2,0,5,15,0,1,0,0,4.586848193337727,67,0
32,24,2,0,0,6,0,0,0,0,3.9834585933443494,1,0
54,11,2,0,0,9,0,1,0,0,3.897837966283953,36,1
50,20,2,0,0,9,0,0,1,0,4.003590820407827,22,0
52,14,1,0,0,9,0,1,1,0,4.210363882461015,30,0
57,28,3,0,0,11,0,0,0,0,4.202439190137591,22,1
